"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $2779.15513379622/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x4a81005f9b049fd19a7ae789972095fcfb74e90d3fb60250dccc4cadf21ad93f","22870016","1751923871","2025-07-07 21:31:11","0x0559d4f52c63732853ac1f4c50b6f293cee0b646","0xe5544a2a5fa9b175da60d8eec67add5582bb31b0","","0","0","0","0.000091447278738285","0.254146174177199","2542.50","","","Mint"
"0xd177c630008b486035dbd89551d86324c65e6c8b94048786b31be9cb3946a04b","22870115","1751925083","2025-07-07 21:51:23","0x0559d4f52c63732853ac1f4c50b6f293cee0b646","0xe5544a2a5fa9b175da60d8eec67add5582bb31b0","","0","0","0","0.00077442","2.15223331871447","2542.50","","","Mint"
"0x07ea30bb44036924e8652d64b13ad0bc4b66b69c716924563545903cb156bb5e","22870119","1751925131","2025-07-07 21:52:11","0x0559d4f52c63732853ac1f4c50b6f293cee0b646","0xe5544a2a5fa9b175da60d8eec67add5582bb31b0","","0","0","0","0.002","5.55831026759244","2542.50","Error(0)","invalid jump destination","Mint"
"0x396101f8921fa8e07612a657cc08a8d25b491e53540f16c8f54a9bff9eebd38a","22870132","1751925287","2025-07-07 21:54:47","0x0559d4f52c63732853ac1f4c50b6f293cee0b646","0xe5544a2a5fa9b175da60d8eec67add5582bb31b0","","0","0","0","0.00077418","2.15156632148236","2542.50","","","Mint"
"0xc72940a20c6ef5be8fab6061ffe96c6ee28b9c62efa87de21d5b2089fc9ba0a7","22870177","1751925827","2025-07-07 22:03:47","0x0559d4f52c63732853ac1f4c50b6f293cee0b646","0xe5544a2a5fa9b175da60d8eec67add5582bb31b0","","0","0","0","0.002","5.55831026759244","2542.50","Error(0)","invalid jump destination","Mint"
"0x8685020dd8487e5f3268164ae8448a7abc7fe4f426d13cd2ae07e53fbadf5bd1","22870178","1751925839","2025-07-07 22:03:59","0x0559d4f52c63732853ac1f4c50b6f293cee0b646","0xe5544a2a5fa9b175da60d8eec67add5582bb31b0","","0","0","0","0.002","5.55831026759244","2542.50","Error(0)","invalid jump destination","Mint"
"0xd27717c0211f83cce11bc9ec1bee6f12b878a6358f5d409ab9312be3b51d736d","22870179","1751925851","2025-07-07 22:04:11","0x0559d4f52c63732853ac1f4c50b6f293cee0b646","0xe5544a2a5fa9b175da60d8eec67add5582bb31b0","","0","0","0","0.002","5.55831026759244","2542.50","Error(0)","invalid jump destination","Mint"
"0xff8c86aa8a495890b97715434b2432d8eb9c188bbb592ff1be9f6d27f5656c7a","22870180","1751925863","2025-07-07 22:04:23","0x0559d4f52c63732853ac1f4c50b6f293cee0b646","0xe5544a2a5fa9b175da60d8eec67add5582bb31b0","","0","0","0","0.00077442","2.15223331871447","2542.50","","","Mint"
"0x593d387628a0ca25a03d989749468f122e3dd5877622c1c4aa8ed99605fbbd24","22870181","1751925875","2025-07-07 22:04:35","0x0559d4f52c63732853ac1f4c50b6f293cee0b646","0xe5544a2a5fa9b175da60d8eec67add5582bb31b0","","0","0","0","0.002","5.55831026759244","2542.50","Error(0)","invalid jump destination","Mint"
"0xd4257eb3d8a229083d9089955211652a3209f0451f95f3fa03e6a43e4479eee5","22870182","1751925887","2025-07-07 22:04:47","0x0559d4f52c63732853ac1f4c50b6f293cee0b646","0xe5544a2a5fa9b175da60d8eec67add5582bb31b0","","0","0","0","0.002","5.55831026759244","2542.50","Error(0)","invalid jump destination","Mint"
